granule_uid,obs_id,period,mass,star_spec_type,detection_type,semi_major_axis,radius
14 Her b,77,1763.3,9.1,K0 V,Radial Velocity,2.845,
14 Her c,309,52596.0,6.9,K0 V,Radial Velocity,27.4,
55 Cnc b,25,14.65314,0.84,K0IV-V,Radial Velocity,0.11339,
51 Eri b,2428,10260.0,2.6,F0IV,Imaging,11.1,1.11
51 Peg b,12,4.2308,0.47,G2 IV,Radial Velocity,0.052,1.9
55 Cnc e,243,0.7365478,0.02703,K0IV-V,Primary Transit,0.015439,0.1737
AU Mic b,7424,8.463,0.0368,M1V,Primary Transit,0.0645,0.3908
AU Mic c,7546,18.859019,0.0698,M1V,Primary Transit,0.1101,0.3131
BD+20 594 b,2546,41.6855,0.07,G,Primary Transit,0.241,0.23
CD Cet b,7415,2.2907,0.01244,M5.0,Radial Velocity,0.0185,
CI Tau b,3941,8.9891,11.6,K4IV,Radial Velocity,,
CoRoT-1 b,401,1.50896848,1.03,G0V,Primary Transit,0.0254,1.49
CoRoT-10 b,662,13.2406,2.75,K1V,Primary Transit,0.1055,0.97
CoRoT-11 b,645,2.994325,2.33,F6V,Primary Transit,0.04351,1.43
CoRoT-12 b,649,2.8280517,0.917,G2V,Primary Transit,0.04016,1.44
CoRoT-13 b,651,4.0350906,1.308,G0V,Primary Transit,0.051,0.885
CoRoT-14 b,652,1.51214,7.6,F9V,Primary Transit,0.027,1.09
CoRoT-16 b,702,5.35227,0.535,G5V,Primary Transit,0.0618,1.17
CoRoT-17 b,703,3.768125,2.43,G2V,Primary Transit,0.0461,1.02
CoRoT-18 b,704,1.90009057,3.47,G9V,Primary Transit,0.0295,1.31
CoRoT-19 b,705,3.8971372,1.11,F9V,Primary Transit,0.0518,1.29
CoRoT-2 b,415,1.7429964,3.31,G7V,Primary Transit,0.0281,1.465
CoRoT-20 b,826,9.2431839,4.24,G2V,Primary Transit,0.0902,0.84
CoRoT-22 b,847,9.75598,0.06,G0IV,Primary Transit,0.092,0.4354
CoRoT-23 b,862,3.6314,2.8,G0V,Primary Transit,0.0477,1.08
CoRoT-24 b,855,5.1134,0.018,K1V,Primary Transit,0.056,0.33
CoRoT-24 c,856,11.759,0.088,K1V,Primary Transit,0.098,0.44
CoRoT-25 b,1240,4.86069,0.27,G0V,Primary Transit,0.0578,1.08
CoRoT-26 b,1243,4.20474,0.52,G8IV,Primary Transit,0.0526,1.26
CoRoT-29 b,1210,2.85057,0.85,KOV,Primary Transit,0.039,0.9
CoRoT-30 b,1211,9.06005,2.9,G3V,Primary Transit,0.0844,1.009
CoRoT-31 b,1212,4.62941,0.84,G2IV,Primary Transit,0.0586,1.46
CoRoT-35 b,2644,3.22748,1.1,F3V,Primary Transit,0.0429,1.68
CoRoT-36 b,3931,5.616531,0.68,,Primary Transit,0.066,1.41
CoRoT-5 b,471,4.0379148,0.467,F9V,Primary Transit,0.04947,1.33
CoRoT-7 b,526,0.8535,0.041812,K0V,Primary Transit,0.0172,0.136
CoRoT-8 b,544,6.21229,0.2158,K1V,Primary Transit,0.063,0.5692
CoRoT-9 b,557,95.273804,0.84,G3V,Primary Transit,0.407,0.94
DS Tuc A b,7077,8.138268,0.0453,G6V,Primary Transit,0.0795,0.5085
EPIC 201295312 b,2557,5.65639,0.0379,,Primary Transit,,0.245
EPIC 205084841 b,6997,11.310099,0.3883,,Primary Transit,0.104,1.561
EPIC 211442297 b,6618,20.273034,0.84,G4,Primary Transit,0.1367,1.115
EPIC 211945201 b,6742,19.49221,0.085,G0,Primary Transit,0.1493,0.514
EPIC 212737443 b,7137,13.603,0.02907,K3,Primary Transit,0.098,0.231
EPIC 212737443 c,7138,65.55,0.0303,K3,Primary Transit,0.28,0.24
EPIC 246193072 b,7527,12.4551225,0.26,,Primary Transit,0.1016,0.774
EPIC 246851721 b,6791,6.180235,3.0,F5V,Primary Transit,0.07229,1.051
Exomoon Kepler-1708 b-i,8059,4.6,0.116,,Primary Transit,0.05,0.2329
Fomalhaut b,291,320000.0,0.208,A3 V,Imaging,117.0,
G 9-40 b,7229,5.7459982,0.013,M2.5 V,Primary Transit,0.0418,0.17
GJ 1132 b,2464,1.628931,0.00522,M3.5,Primary Transit,0.0154,0.1035
GJ 1214 b,619,1.580404497,0.02571,M,Primary Transit,0.01411,0.24463
GJ 1252 b,7246,0.5182349,0.00415,,Primary Transit,0.00916,0.1053
GJ 143 b,6930,35.61253,0.0714,K4.5V,Primary Transit,0.1932,0.2329
GJ 143 c,6975,7.78993,0.01164,K4.5V,Primary Transit,0.0695,0.07958
GJ 2030 c,8380,25635.0,12.934,G5/6V,Astrometry,16.752,
GJ 273 b,6548,18.64,0.00922,M3.5,Radial Velocity,0.091,
GJ 273 c,6549,4.72322,0.00374,M3.5,Radial Velocity,0.036,
GJ 273 d,7135,413.9,0.03448,M3.5,Radial Velocity,0.712,
GJ 273 e,7136,542.0,0.0297,M3.5,Radial Velocity,0.849,
GJ 3090 b,8338,2.8531054,0.01051,,Primary Transit,0.03165,0.19
GJ 3470 b,1140,3.336649,0.03958,M1.5,Primary Transit,0.03557,0.37380742940036
GJ 3473 b,7501,1.1980035,0.00585,M4V,Primary Transit,0.01589,0.11277
GJ 357 b,7109,3.93086,0.006566,M2.5 V,Primary Transit,0.033,0.10411
GJ 3634 b,816,2.64561,0.026,M2.5,Radial Velocity,0.0287,
GJ 367  b,8105,0.3219659,0.00047,M1,Primary Transit,0.0069,0.0526
GJ 3929 b,8113,2.6162745,0.00381,M3.5V,Primary Transit,0.02569,0.1026
GJ 436 b,241,2.64394,0.07,M2.5,Primary Transit,0.02887,0.38
GJ 486 b,7818,1.467119,0.00887,M3.5V,Primary Transit,0.01734,0.11643
GJ 676 A b,603,1052.1,6.7,M0V,Radial Velocity,1.812,
GJ 676 A c,1285,7337.0,6.8,M0V,Radial Velocity,6.6,
GJ 876 b,31,61.03474,3.6,M4 V,Radial Velocity,0.214,
GJ 876 d,289,1.938,0.021741,M4 V,Radial Velocity,0.021,
GJ 876 e,693,124.4,0.04855,M4 V,Radial Velocity,0.345,
GJ 9827 b,6623,1.2089765,0.01532,K6V,Primary Transit,0.01866,0.13641
GJ 9827 c,6624,3.648086,0.00604,K6V,Primary Transit,0.03896,0.107
GJ 9827 d,6625,6.20183,0.01076,K6V,Primary Transit,0.0555,0.17441
Gaia-1 b,8214,3.042524,1.68,,Primary Transit,0.04047,1.229
Gaia-2 b,8215,3.6915237,0.773,,Primary Transit,0.0467,1.327
HAT-P-1 b,345,4.46529976,0.525,GOV,Primary Transit,0.05561,1.319
HAT-P-10 A b,506,3.722469,0.46,K3V,Primary Transit,0.0439,1.045
HAT-P-11 b,532,4.887802443,0.0736,K4,Primary Transit,0.053,0.389
HAT-P-11 c,6864,3397.0,2.3,K4,Radial Velocity,4.13,
HAT-P-12 b,549,3.2130598,0.210489884529,,Primary Transit,0.0384,0.949
HAT-P-13 b,558,2.916243,0.85,G4,Primary Transit,0.0426,1.28
HAT-P-14 b,650,4.627686,2.444,F,Primary Transit,0.0606,1.01
HAT-P-15 b,680,10.863502,1.946,G5,Primary Transit,0.0964,1.072
HAT-P-16 b,676,2.77596,4.193,F8,Primary Transit,0.0413,1.289
HAT-P-17 b,738,10.338523,0.534,K,Primary Transit,0.0882,1.01
HAT-P-18 b,723,5.508029,0.183,K,Primary Transit,0.0559,0.947
HAT-P-19 b,724,4.008784,0.292,K,Primary Transit,0.0466,1.132
HAT-P-2 b,402,5.6334729,8.74,F8,Primary Transit,0.0674,0.951
HAT-P-20 b,734,2.875317,7.246,K7,Primary Transit,0.0361,0.867
HAT-P-21 b,735,4.124461,4.063,G3,Primary Transit,0.0494,1.024
HAT-P-22 b,736,3.21222,2.147,G5,Primary Transit,0.0414,1.08
HAT-P-23 b,737,1.212884,2.09,G5,Primary Transit,0.0232,1.368
HAT-P-46 b,1331,4.463129,0.493,,Primary Transit,0.0577,1.284
HAT-P-24 b,733,3.35524,0.685,F8,Primary Transit,0.0465,1.242
HAT-P-25 b,740,3.652836,0.567,G5,Primary Transit,0.0466,1.19
HAT-P-26 b,748,4.234516,0.0585,K1,Primary Transit,0.0479,0.5647
HAT-P-27 b,806,3.0395803,0.66,G8,Primary Transit,0.0403,1.055
HAT-P-28 b,834,3.257215,0.626,G3,Primary Transit,0.0434,1.212
HAT-P-29 b,835,5.723186,0.778,F8,Primary Transit,0.0667,1.107
HAT-P-3 b,413,2.899703,0.591,K,Primary Transit,0.03866,0.827
HAT-P-30 b,837,2.810595,0.711,F,Primary Transit,0.0419,1.34
HAT-P-31 b,857,5.005425,2.171,,Primary Transit,0.055,1.07
HAT-P-32 b,859,2.15000825,0.75,F/G,Primary Transit,0.03427,1.789
HAT-P-33 b,860,3.474474,0.763,F,Primary Transit,0.0503,1.827
HAT-P-34 b,1044,5.452654,3.328,,Primary Transit,0.0677,1.107
HAT-P-35 b,1045,3.646706,1.054,,Primary Transit,0.0498,1.332
HAT-P-36 b,1046,1.327347,1.832,,Primary Transit,0.0238,1.264
HAT-P-37 b,1047,2.797436,1.169,,Primary Transit,0.0379,1.178
HAT-P-38 b,1056,4.640382,0.267,G,Primary Transit,0.0523,0.825
HAT-P-39 b,1143,3.54387,0.599,,Primary Transit,0.0509,1.571
HAT-P-4 b,419,3.0565114,0.68,F,Primary Transit,0.0446,1.27
HAT-P-40 b,1144,4.457243,0.615,,Primary Transit,0.0608,1.73
HAT-P-41 b,1145,2.694047,0.8,,Primary Transit,0.0426,1.685
HAT-P-42 b,1268,4.641876,0.975,,Primary Transit,0.0575,1.277
HAT-P-43 b,1269,3.332688,0.66,,Primary Transit,0.0443,1.283
HAT-P-44 b,1328,4.301217,0.392,,Primary Transit,0.0507,1.28
HAT-P-44 c,1329,219.9,1.6,,Primary Transit,0.699,
HAT-P-45 b,1330,3.128992,0.892,,Primary Transit,0.0452,1.426
HAT-P-46 c,1333,77.7,2.0,,Primary Transit,0.387,
HAT-P-47 b,3964,4.732182,0.206,,Primary Transit,0.0615,1.313
HAT-P-48 b,3965,4.40865,0.168,,Primary Transit,0.0543,1.131
HAT-P-49 b,1511,2.691548,1.73,A5,Primary Transit,0.0438,1.413
HAT-P-5 b,423,2.788491,1.06,,Primary Transit,0.04079,1.252
HAT-P-50 b,2380,3.1220109,1.36,,Primary Transit,0.0453,1.288
HAT-P-51 b,2381,4.2180278,0.309,,Primary Transit,0.05069,1.293
HAT-P-52 b,2382,2.7535953,0.819,,Primary Transit,0.03694,1.009
HAT-P-53 b,2383,1.9616241,1.487,,Primary Transit,0.03159,1.318
HAT-P-54 b,2264,3.799847,0.76,K,Primary Transit,0.04117,0.944
HAT-P-55 b,2431,3.5852467,0.582,,Primary Transit,0.04604,1.182
HAT-P-56 b,2409,2.79083,2.31,F8,Primary Transit,0.0423,1.51
HAT-P-57 b,2462,2.465295,1.85,,Primary Transit,0.0406,1.413
HAT-P-58 b,7436,4.013837,0.372,,Primary Transit,0.04994,1.332
HAT-P-59 b,7437,4.1419771,1.54,,Primary Transit,0.05064,1.123
HAT-P-6 b,424,3.853003,1.057,F,Primary Transit,0.05235,1.33
HAT-P-60 b,7438,4.7947813,0.574,,Primary Transit,0.06277,1.631
HAT-P-61 b,7439,1.90231289,1.057,,Primary Transit,0.0301,0.899
HAT-P-62 b,7440,2.6453235,0.761,,Primary Transit,0.03772,1.073
HAT-P-63 b,7441,3.377728,0.614,,Primary Transit,0.04294,1.119
HAT-P-64 b,7442,4.007232,0.58,,Primary Transit,0.05387,1.703
HAT-P-65 b,4056,2.6054552,0.527,,Primary Transit,0.03951,1.89
HAT-P-66 b,4057,2.972086,0.783,,Primary Transit,0.04363,1.59
HAT-P-67 b,6516,4.81010205,0.34,F,Primary Transit,0.06505,2.085
HAT-P-68 b,7533,2.29840551,0.724,,Primary Transit,0.02996,1.072
HAT-P-69 b,7121,4.7869491,3.58,,Primary Transit,0.06555,1.676
HAT-P-7 b,457,2.204735471,1.741,,Primary Transit,0.0379,1.431
HAT-P-70 b,7122,2.74432452,6.78,,Primary Transit,0.04739,1.87
HAT-P-8 b,529,3.0763402,1.34,,Primary Transit,0.0449,1.5
HAT-P-9 b,488,3.922814,0.67,F,Primary Transit,0.053,1.4
HATS-1 b,1134,3.446459,1.855,,Primary Transit,0.0444,1.302
HATS-10 b,2377,3.312846,0.526,,Primary Transit,0.0449,0.969
HATS-11 b,2595,3.619188,0.85,G0,Primary Transit,0.0507,1.609
HATS-12 b,2596,3.142702,2.38,F,Primary Transit,0.0441,0.692
HATS-13 b,2378,3.0440499,0.543,,Primary Transit,0.04057,1.212
HATS-14 b,2379,2.7667641,1.071,,Primary Transit,0.03815,1.039
HATS-15 b,2627,1.74748753,2.17,,Primary Transit,0.02712,1.105
HATS-16 b,2628,2.686502,3.27,,Primary Transit,0.03744,1.3
HATS-17 b,2597,16.254611,1.338,G,Primary Transit,0.1308,0.777
HATS-18 b,3954,0.8378434,1.98,G,Primary Transit,0.01761,1.337
HATS-19 b,3994,4.569673,0.427,G0,Primary Transit,0.0589,1.66
HATS-2 b,1270,1.354133,1.345,K,Primary Transit,0.023,1.168
HATS-20 b,3995,3.7992969,0.273,G9V,Primary Transit,0.04619,0.776
HATS-21 b,3996,3.5543973,0.332,G4V,Primary Transit,0.04676,1.123
HATS-22 b,3989,4.7228124,2.74,,Primary Transit,0.05025,0.953
HATS-23 b,3990,2.1605156,1.47,,Primary Transit,0.03397,1.86
HATS-24 b,3991,1.3484954,2.44,,Primary Transit,0.02547,1.487
HATS-25 b,4011,4.2986432,0.613,G,Primary Transit,0.05163,1.26
HATS-26 b,4012,3.3023881,0.65,F,Primary Transit,0.04735,1.75
HATS-27 b,4013,4.637038,0.53,F,Primary Transit,0.0611,1.5
HATS-28 b,4014,3.1810781,0.672,G,Primary Transit,0.04131,1.194
HATS-29 b,4015,4.6058749,0.653,G,Primary Transit,0.05475,1.251
HATS-3 b,1310,3.547851,1.071,F,Primary Transit,0.0485,1.381
HATS-30 b,4016,3.1743516,0.706,,Primary Transit,0.04354,1.175
HATS-31 b,3983,3.37796,0.88,,Primary Transit,0.0478,1.64
HATS-32 b,3984,2.8126548,0.92,,Primary Transit,0.04024,1.249
HATS-33 b,3985,2.5495551,1.192,,Primary Transit,0.03727,1.23
HATS-34 b,3987,2.1061607,0.941,,Primary Transit,0.03166,1.43
HATS-35 b,3988,1.8209933,1.222,,Primary Transit,0.03199,1.464
HATS-36 b,6570,4.175186,2.79,G0 V,Primary Transit,0.0523,1.153
HATS-37A b,7434,4.3315366,0.099,,Primary Transit,0.04913,0.606
HATS-38 b,7435,4.375021,0.074,,Primary Transit,0.05036,0.614
HATS-39 b,6736,4.5776348,0.63,,Primary Transit,0.06,1.57
HATS-4 b,1528,2.516729,1.323,,Primary Transit,0.0362,1.02
HATS-40 b,6737,3.2642736,1.59,,Primary Transit,0.04997,1.58
HATS-41 b,6738,4.193649,9.7,,Primary Transit,0.0583,1.33
HATS-42 b,6739,2.292102,1.88,,Primary Transit,0.03689,1.4
HATS-43 b,6593,4.3888497,0.261,K,Primary Transit,0.04944,1.18
HATS-44 b,6594,2.7439004,0.56,K,Primary Transit,0.03649,1.067
HATS-45 b,6595,4.1876244,0.7,F,Primary Transit,0.05511,1.286
HATS-46 b,6596,4.7423729,0.173,G,Primary Transit,0.05367,0.903
HATS-47 b,7295,3.9228038,0.369,,Primary Transit,0.04269,1.117
HATS-48A b,7296,3.1316666,0.243,,Primary Transit,0.03769,0.8
HATS-49 b,7297,4.1480467,0.353,,Primary Transit,0.04515,0.765
HATS-5 b,1503,4.763387,0.237,,Primary Transit,0.0542,0.912
HATS-50 b,6686,3.8297015,0.39,,Primary Transit,0.05046,1.13
HATS-51 b,6687,3.3488702,0.768,,Primary Transit,0.04639,1.41
HATS-52 b,6688,1.3665436,2.24,,Primary Transit,0.02498,1.382
HATS-53 b,6689,3.8537768,0.595,,Primary Transit,0.04753,1.34
HATS-54 b,6952,2.5441828,0.76,,Primary Transit,0.03763,1.067
HATS-56 b,6954,4.324799,0.602,,Primary Transit,0.06043,1.688
HATS-57 b,6955,2.350621,3.147,,Primary Transit,0.03493,1.13
HATS-58A b,6956,4.2180896,1.03,,Primary Transit,0.05798,1.095
HATS-59 b,6746,5.416081,0.806,,Primary Transit,0.06112,1.126
HATS-6 b,2298,3.3252725,0.319,M1V,Primary Transit,0.03623,0.998
HATS-60 b,6834,3.560829,0.662,,Primary Transit,0.04708,1.153
HATS-61 b,6835,7.817953,3.4,,Primary Transit,0.07908,1.195
HATS-62 b,6836,3.2768837,0.179,,Primary Transit,0.04163,1.055
HATS-63 b,6838,3.0566527,0.96,,Primary Transit,0.04026,1.207
HATS-64 b,6839,4.908897,0.96,,Primary Transit,0.06562,1.679
HATS-65 b,6840,3.105161,0.821,,Primary Transit,0.04497,1.501
HATS-66 b,6841,3.1414391,5.33,,Primary Transit,0.04714,1.411
HATS-67 b,6846,1.6091788,1.45,,Primary Transit,0.03032,1.685
HATS-68 b,6847,3.5862202,1.29,,Primary Transit,0.05071,1.2321
HATS-69 b,6848,2.2252577,0.577,,Primary Transit,0.03211,0.945
HATS-7 b,2626,3.185315,0.12,K2,Primary Transit,0.04012,0.563
HATS-70 b,6888,1.8882378,12.9,,Primary Transit,0.03632,1.384
HATS-71A b,6973,3.7955213,0.45,M3,Primary Transit,0.03946,1.08
HATS-72 b,7298,7.3279474,0.1254,,Primary Transit,0.066517,0.7224
HATS-74A b,8024,1.73185606,1.46,,Primary Transit,0.02384,1.032
HATS-75 b,8025,2.7886556,0.491,,Primary Transit,0.032742,0.884
HATS-76 b,8026,1.9416423,2.629,,Primary Transit,0.02658,1.079
HATS-77 b,8027,3.0876262,1.374,,Primary Transit,0.03607,1.165
HATS-8 b,2408,3.583893,0.138,G2V,Primary Transit,0.04667,0.873
HATS-9 b,2376,1.915291,0.839,,Primary Transit,0.0312,1.236
HD 102195 b,314,4.114,0.46,K0V,Radial Velocity,0.049,
HD 106315 b,6506,9.55237,0.03964,F5 V,Primary Transit,0.0907,0.218
HD 106315 c,6507,21.05704,0.04782,F5 V,Primary Transit,0.1536,0.388
HD 10697 b,95,1075.69,6.837,G5 IV,Radial Velocity,2.14,1.152
HD 110113 b,7559,2.541,0.01432,,Primary Transit,0.035,0.1829
HD 114783 b,104,493.7,6.3,K0,Radial Velocity,1.16,
HD 118203 b,302,6.13498,2.173,K0,Radial Velocity,0.07082,1.133
HD 128311 c,266,919.0,4.19,K0V,Radial Velocity,1.76,
HD 130322 b,21,10.72,1.05,K0 V,Radial Velocity,0.09,
HD 132406 b,411,974.0,6.7,G0V,Radial Velocity,1.98,
HD 136352 b,968,11.57779,0.01454,G4V,Radial Velocity,0.0969,0.13222
HD 136352 c,969,27.5909,0.03552,G4V,Radial Velocity,0.1729,0.183854
HD 136352 d,970,107.63,0.02775,G4V,Radial Velocity,0.4285,0.2284
HD 1397 b,6873,11.53533,0.415,G5III,Primary Transit,0.1097,1.026
HD 149026 b,290,2.8758916,0.357,G0 IV,Primary Transit,0.04288,0.718
HD 152843 b,7855,11.6264,0.03637,G0,Primary Transit,0.1053,0.3042
HD 152843 c,7856,27.13,0.0865,G0,Primary Transit,,0.5201
HD 154345 b,338,3538.0,1.3,G8V,Radial Velocity,4.3,
HD 164604 b,640,641.47,14.3,K3.5V,Radial Velocity,1.331,
HD 17156 b,387,21.2163979,3.195,G0,Primary Transit,0.1623,1.095
HD 175167 b,643,1290.0,9.5,G5 IV/V,Radial Velocity,2.4,
HD 176051 b,752,1016.0,1.5,,Astrometry,1.76,
HD 181720 b,580,956.0,12.12,G1V,Radial Velocity,1.78,
HD 183579 b,7913,17.471278,0.0302,G5V,Primary Transit,0.1334,0.3149
HD 189733 b,307,2.219,1.138,K1-K2,Primary Transit,0.031,1.138
HD 191939 b,7282,8.88029,0.0327,G8V,Primary Transit,0.078,0.3024
HD 191939 c,7283,28.5805,0.0227,G8V,Primary Transit,0.17,0.2748
HD 191939 d,7284,38.3525,0.0182,G8V,Primary Transit,0.207,0.2712
HD 202772 A b,6843,3.30896,1.008,,Primary Transit,0.0519,1.562
HD 207897 b,7992,16.202157,0.05,K0V,Primary Transit,0.1164,0.22348
HD 208487 c,306,908.0,0.46,G2V,Other,1.8,
HD 209458 b,10,3.52472,0.69,G0 V,Radial Velocity,0.04747,1.38
HD 213885 b,7054,1.008035,0.02778,G,Primary Transit,0.02012,0.15568
HD 219134 b,2415,3.093292,0.01343,K3V,Primary Transit,0.037,0.134
HD 219134 c,2416,6.765159,0.01246,K3V,Radial Velocity,0.062,0.12624
HD 219134 d,2417,46.71,0.05236,K3V,Radial Velocity,0.225,
HD 219134 f,2467,22.805,0.0208,K3V,Other,0.139,
HD 219666 b,6937,6.03607,0.0522,,Primary Transit,0.06356,0.4202
HD 221416 b,7308,14.2767,0.1904,K0IV/V,Primary Transit,0.1228,0.836
HD 23472 b,6931,17.667087,0.02618,K3.5V,Primary Transit,0.1162,0.16701
HD 23472 c,6932,29.79749,0.01073,K3.5V,Primary Transit,0.1646,0.1668
HD 23472 d,6977,3.97664,0.00173,K3.5V,Primary Transit,0.04298,0.0669
HD 23472 e,8367,7.90754,0.00227,K3.5V,Primary Transit,0.68,0.07298
HD 23472 f,6976,12.1621839,0.00242,K3.5V,Primary Transit,,0.10144
HD 260655 b,8173,2.76953,0.00673,MOV,Primary Transit,0.02933,0.1106
HD 260655 c,8174,5.70588,0.00972,MOV,Primary Transit,0.04749,0.13677
HD 2685 b,6889,4.12692,1.18,,Primary Transit,0.0568,1.44
HD 28109 b,8210,22.89104,0.058195,F8,Primary Transit,0.1357,0.19618
HD 3167 b,4004,0.959624,0.0158,K0 V,Primary Transit,0.0186,0.152
HD 3167 c,4005,29.83832,0.0308,K0 V,Primary Transit,0.1841,0.255
HD 332231 b,7355,18.71204,0.244,F8,Primary Transit,0.1436,0.867
HD 3651 b,38,62.25,0.23,K0 V,Radial Velocity,0.295,
HD 38529 b,23,14.3104,0.93,G4 IV,Radial Velocity,0.131,
HD 5278 b,7806,14.33902,0.0245,,Primary Transit,0.12,0.2186
HD 60532 b,504,201.83,9.21,F6IV-V,Radial Velocity,0.77,
HD 63935 b,7987,9.058811,0.034,,Primary Transit,,0.2668
HD 63935 c,7988,21.4023,0.0349,,Primary Transit,,0.259
HD 69830 b,326,8.6682,0.1427,K0V,Radial Velocity,0.0785,
HD 69830 c,327,31.601,0.1649,K0V,Radial Velocity,0.186,
HD 69830 d,328,200.57,0.2529,K0V,Radial Velocity,0.63,
HD 73583 b,7998,6.398042,0.0321,K4V,Primary Transit,0.0604,0.2489
HD 73583 c,7999,18.8805,0.0302,K4V,Primary Transit,0.1233,0.2436
HD 80606 b,43,111.436765,4.1641,G5,Primary Transit,0.4603,1.032
HD 80653 b,7254,0.719573,0.01762,G2,Primary Transit,0.0166,0.144
HD 81040 b,310,1001.7,8.04,G2/G3,Radial Velocity,1.94,
HD 82943 b,51,442.4,14.5,G0,Radial Velocity,1.19,
HD 82943 c,52,219.3,14.39,G0,Radial Velocity,0.746,
HD 85628 A b,7080,2.82406,3.1,A3V,Primary Transit,0.047,1.53
HD 89345 b,6719,11.81399,0.1123,G5V,Primary Transit,0.105,0.612
HD 89744 b,55,256.78,10.32,F7 V,Radial Velocity,0.917,
HD 95338 b,7353,55.086,0.12406,K0.5V,Primary Transit,0.231,0.3551
HD 97658 b,766,9.489295,0.02457,K1V,Primary Transit,0.08,0.20047
HIP 116454 b,2338,9.1265,0.0372,K2,Primary Transit,0.098,0.226
HIP 65A b,7319,0.9809734,3.213,K4V,Primary Transit,0.01782,2.03
HIP 67522 b,7401,6.959503,5.0,,Primary Transit,,0.8984
HIP 94235 b,8179,7.712121,1.192,,Primary Transit,0.0787,0.2862
HIP 97166 b,7985,10.28891,0.063,,Primary Transit,0.089,0.2444
HR 8799 b,516,164250.0,7.0,A5V,Imaging,68.0,1.2
HR 8799 c,517,82145.0,8.3,A5V,Imaging,42.9,1.3
HR 8799 d,518,41054.0,8.3,A5V,Imaging,27.0,1.2
HR 8799 e,768,18000.0,9.6,A5V,Imaging,16.4,1.17
K2-10 b,2555,19.3044,0.08495,F9,Primary Transit,,0.343
K2-105 b,6499,8.267704,0.094,K1,Primary Transit,0.0796,0.301
K2-106 b,4066,0.571331,0.0263,G5 V,Primary Transit,0.0134,0.162
K2-106 c,4067,13.339079,0.018,G5 V,Primary Transit,0.1091,0.244
K2-107 b,6510,3.313959,0.84,F9 IV,Primary Transit,0.0475,1.426
K2-108 b,6517,4.733999,0.187,,Primary Transit,0.0581,0.476
K2-110 b,6607,13.86387,0.0525,K3 V,Primary Transit,0.1027,0.228
K2-111 b,6584,5.3518,0.01664,G2,Primary Transit,0.057,0.162
K2-113 b,4071,5.817685,1.28,G,Primary Transit,0.0642,1.083
K2-114 b,6617,11.391013,1.85,,Primary Transit,0.0954,0.952
K2-124 b,7002,6.413651,0.033,M3V,Primary Transit,0.049,0.259
K2-132 b,6590,9.1751,0.49,K,Primary Transit,0.0916,1.3
K2-133 b,6620,3.07133,0.0069,M1.5 V,Primary Transit,0.03194,0.12
K2-137 b,6591,0.179715,0.5,M3 V,Primary Transit,0.0058,0.079
K2-133 c,6621,4.86784,0.01,M1.5 V,Primary Transit,0.04341,0.143
K2-133 d,6622,11.02454,0.026,M1.5 V,Primary Transit,0.07487,0.179
K2-138 b,6701,2.35322,0.0098,K1 V,Primary Transit,0.0338,0.14
K2-138 c,6702,3.55987,0.0198,K1 V,Primary Transit,0.04454,0.225
K2-138 d,6703,5.40478,0.0249,K1 V,Primary Transit,0.05883,0.237
K2-138 e,6704,8.26144,0.0409,K1 V,Primary Transit,0.07807,0.294
K2-138 f,6705,12.75759,0.005,K1 V,Primary Transit,0.1043,0.251
K2-138 g,7195,41.96797,0.0135,K1 V,Primary Transit,0.231,0.2688
K2-139 b,6518,28.380619,0.381,K0 V,Primary Transit,0.1796,0.813
K2-140 b,6563,6.56918,0.93,G5,Primary Transit,0.0687,1.093
K2-141 b,6673,0.2803244,0.01598,,Primary Transit,,0.135
K2-141 c,6710,7.7485,0.02328,,Primary Transit,,0.624
K2-146 b,6645,2.6446,0.01816,M3.0 V,Primary Transit,0.027,0.183
K2-146 c,7311,4.00498,0.02358,M3.0 V,Primary Transit,0.034,0.195
K2-155 b,6707,6.342,0.0148,K7,Primary Transit,0.0562,0.161
K2-155 c,6708,13.85,0.0205,K7,Primary Transit,0.0946,0.232
K2-155 d,6709,40.718,0.0154,K7,Primary Transit,0.1937,0.17
K2-174 b,6999,19.562307,0.0289,,Primary Transit,0.126,0.232
K2-18 b,3953,32.939623,0.02807,M2.5 V,Primary Transit,0.1429,0.211
K2-180 b,6852,8.867209,0.036,K2V,Primary Transit,0.0753,0.206
K2-182 b,7777,4.7369683,0.063,,Primary Transit,0.0526,0.24
K2-19 b,2498,7.9194,0.1019,G9 V,Primary Transit,0.074,0.691
K2-19 c,2499,11.90715,0.034,G9 V,Primary Transit,0.0971,0.434
K2-19 d,2500,2.50856,0.031,G9 V,Primary Transit,0.0344,0.102
K2-199 b,7674,3.2253993,0.0217,,Primary Transit,0.0382,0.1543
K2-199 c,7675,7.3744897,0.039,,Primary Transit,0.0662,0.2543
K2-216 b,6745,2.1748,0.02517,K5 V,Primary Transit,0.028,0.156
K2-22 b,2392,0.381078,1.4,M0 V,Primary Transit,0.0088,0.223
K2-222 b,7750,15.3885,0.025,,Primary Transit,0.1211,0.2097
K2-229 b,6902,0.58426,0.00815,G9,Primary Transit,0.0131,0.102
K2-229 c,6914,8.32727,0.067,G9,Primary Transit,0.0769,0.181
K2-229 d,6915,31.0,0.079,G9,Primary Transit,0.182,0.2364
K2-231 b,6850,13.841901,0.0227,,Primary Transit,,0.223
